epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
83,462.78,1.57652,9.49724,0.78449,0.0358,0.59462,0.38192,0.39399,0.22851,1.81362,13.2985,1.46677,0.03483,0.00111212,0.00111212,0.00111212
84,468.282,1.55147,9.87549,0.76788,0.03244,0.47598,0.39608,0.37917,0.2172,1.84301,13.8053,1.42965,0.03842,0.0010922,0.0010922,0.0010922
85,474.143,1.51928,9.71987,0.75572,0.03651,0.5937,0.36406,0.39999,0.2252,1.83798,12.902,1.45042,0.03679,0.00107229,0.00107229,0.00107229
86,479.528,1.54594,9.83452,0.73085,0.03716,0.60018,0.36187,0.37179,0.21186,1.85128,13.489,1.42811,0.04065,0.00105237,0.00105237,0.00105237
87,485.034,1.60132,9.59495,0.81861,0.03461,0.54576,0.38339,0.39202,0.22866,1.8002,13.471,1.47242,0.03657,0.00103245,0.00103245,0.00103245
88,490.561,1.47425,8.81394,0.8459,0.02951,0.56745,0.43943,0.4202,0.22793,1.87711,12.9535,1.37652,0.03941,0.00101253,0.00101253,0.00101253
89,496.145,1.60053,9.4152,0.79376,0.03246,0.69985,0.37233,0.40727,0.2227,1.89884,13.3494,1.42014,0.03573,0.000992617,0.000992617,0.000992617
90,501.737,1.53539,9.26917,0.79019,0.03147,0.59624,0.40261,0.39881,0.22191,1.85885,13.1544,1.43452,0.03656,0.0009727,0.0009727,0.0009727
91,535.098,1.54802,7.84613,0.931,0.03652,0.53715,0.38818,0.3692,0.20849,1.88834,14.3578,1.3891,0.0375,0.000952783,0.000952783,0.000952783
92,540.085,1.56022,7.31785,0.93806,0.03854,0.58363,0.38497,0.3926,0.22774,1.84991,13.577,1.4495,0.03667,0.000932866,0.000932866,0.000932866
93,545.142,1.47901,7.55474,0.98162,0.03333,0.62882,0.37756,0.39928,0.22898,1.87481,13.1079,1.47996,0.03576,0.000912949,0.000912949,0.000912949
94,550.054,1.47087,6.31844,0.97341,0.03826,0.58169,0.3841,0.41756,0.22993,1.83126,13.809,1.42827,0.03405,0.000893032,0.000893032,0.000893032
95,554.918,1.51239,7.18601,1.00022,0.03753,0.64951,0.38526,0.39547,0.21406,1.94783,14.3837,1.36043,0.03161,0.000873115,0.000873115,0.000873115
96,559.78,1.54523,7.01702,0.92196,0.0373,0.68626,0.39005,0.42155,0.23702,1.85466,13.4767,1.43482,0.04081,0.000853198,0.000853198,0.000853198
97,564.63,1.48119,6.55852,0.97236,0.03568,0.71675,0.39063,0.43396,0.23982,1.83092,12.9614,1.46059,0.0378,0.000833281,0.000833281,0.000833281
98,569.726,1.5065,6.31892,0.92209,0.04031,0.63555,0.39368,0.4301,0.2367,1.88474,13.0311,1.44333,0.0389,0.000813364,0.000813364,0.000813364
99,574.582,1.53729,6.67422,0.91357,0.03875,0.71366,0.3743,0.41697,0.2338,1.87207,13.4622,1.41671,0.04059,0.000793446,0.000793446,0.000793446
100,579.496,1.42569,5.99059,0.93453,0.03381,0.70745,0.37233,0.40714,0.22529,1.89881,13.4083,1.4248,0.03956,0.000773529,0.000773529,0.000773529
